,alexnet,vgg16,resnet152
shuffle_quad_rand,33.7,54.800003,65.600006
rotate15,49.2,67.4,77.700005
shear_0.5_0,36.2,57.100002,68.8
shear_0_0.5,25.900002,52.800003,64.9
shuffle_quad,16.7,44.100002,57.4
vert_shift_0.5,28.800001,57.600002,69.5
vert_shift_0.25,43.100002,65.8,74.4
rotate45,31.100002,51.9,68.3
rotate5,55.7,71.200005,78.8
randRotate_1_45,44.100002,65.100006,75.100006
hsv_m30_0_0,41.000004,61.9,71.700005
hsv_120_0_0,24.7,48.500004,61.9
randRotate_1_10,55.000004,71.600006,79.100006
randRotate_1_20,52.500004,68.700005,77.700005
invert,13.6,26.2,38.800003
hsv_0_m20_0,55.100002,71.5,78.9
hsv_60_0_0,27.300001,52.4,64.5
randRotate_10_20,49.7,68.4,78.3
hsv_180_0_0,52.300003,68.8,77.5
hsv_30_0_0,32.2,54.4,67.200005
cb_2_0,42.500004,61.100002,72.4
cb_0.5_m50,17.0,35.800003,49.500004
horz_shift_0.25,50.300003,67.100006,76.200005
horz_shift_0.5,35.800003,59.4,67.600006
cb_0.5_50,46.800003,68.9,76.5
hsv_0_0_20,55.500004,72.0,79.4
hsv_0_20_0,54.4,71.200005,80.0
cb_2_m50,46.100002,64.8,72.0
cb_2_50,33.5,54.100002,65.3
hsv_0_0_m20,54.800003,71.600006,79.3
bilateralFilter_5_75_75,54.2,69.0,77.600006
AGthreshold,1.5000001,3.7000003,7.8
bilateralFilter_9_150_150,46.800003,62.600002,72.3
blur5,50.100002,69.700005,76.8
bilateralFilter_9_75_75,50.600002,64.5,74.9
blur3,53.4,71.700005,78.600006
